,Unnamed: 0,FIPS,State,County,Year,n_crops,area_km2,Month,corn_bu_production_t,corn_tons_production_t,cotton_production_t,oats_production_t,peanuts_production_t,rice_production_t,soybeans_production_t,wheat_production_t
0,0,US17005,ILLINOIS,BOND,2022,4,1000.9757964005034,6,349190.3366566574,,,,,,133002.51290471829,18207.21938474658
1,1,US37051,NORTH CAROLINA,CUMBERLAND,2021,4,1708.586179346146,10,38533.62484237646,,1741.7967722328565,,,,15431.230779000463,4871.58784733877
2,3,US05095,ARKANSAS,MONROE,2019,4,1617.3591142356115,9,131832.24319837432,,8273.534668106067,,,107819.03457285155,93485.49863468534,
3,4,US17013,ILLINOIS,CALHOUN,2022,4,734.8689836628596,10,68913.46354473787,,,,,,41340.4577659642,4926.018996471047
4,5,US22065,LOUISIANA,MADISON,2023,4,1661.826433405098,8,365599.5137484011,,6836.5523310139615,,,17853.41691538678,91852.56416071704,
5,6,US05067,ARKANSAS,JACKSON,2022,5,1707.7321013025148,4,69878.70925601691,,2961.054512795856,,,259455.144197186,111066.75980441074,12764.104471518902
6,10,US37117,NORTH CAROLINA,MARTIN,2023,5,1240.831913954528,4,21387.81286570928,,10908.002286108263,,17708.267184367374,,22752.22033729169,12573.595449555933
7,11,US13253,GEORGIA,SEMINOLE,2024,4,663.563331464837,10,50853.20826264844,,12083.715107365442,,43254.6198437826,,4408.923079714418,
8,12,US13163,GEORGIA,JEFFERSON,2020,4,1366.602072879094,8,67109.97813682177,,5704.384429062605,,20438.896499169925,,5633.623935190645,
9,13,US37127,NORTH CAROLINA,NASH,2021,4,1405.0482211020144,5,21286.2080539957,,2612.6951583492846,,,,26290.24503088968,4735.509974508079
10,14,US17035,ILLINOIS,CUMBERLAND,2023,4,898.3667436909211,5,358436.37452259345,,,,,,116890.89276156436,7348.205132857363
11,15,US26023,MICHIGAN,BRANCH,2022,4,1350.0949415248183,5,344135.4972739066,,,159.66470412134518,,,109161.66958478103,5007.665720169463
12,17,US27139,MINNESOTA,SCOTT,2021,4,1019.2749316773704,6,169502.2271411853,34745.21686277,,,,,55791.92786058368,117.02697063439504
13,18,US27079,MINNESOTA,LE SUEUR,2020,4,1262.1918582485953,4,401364.4074715824,41276.954758643216,,,,,133818.98014170243,
